round,date,n1,n2,n3,n4,n5,n6,bonus
1120,2024-05-18,2,19,26,31,38,41,0
1121,2024-05-25,6,24,31,32,38,44,0
1122,2024-06-01,3,6,21,30,34,35,0
1123,2024-06-08,13,19,21,24,34,35,0
1124,2024-06-15,3,8,17,30,33,34,0
1125,2024-06-22,6,14,25,33,40,44,0
1126,2024-06-29,4,5,9,11,37,40,0
1127,2024-07-06,10,15,24,30,31,37,0
1128,2024-07-13,1,5,8,16,28,33,0
1129,2024-07-20,5,10,11,17,28,34,0
1130,2024-07-27,15,19,21,25,27,28,0
1131,2024-08-03,1,2,6,14,27,38,0
1132,2024-08-10,6,7,19,28,34,41,0
1133,2024-08-17,13,14,20,28,29,34,0
1134,2024-08-24,3,7,9,13,19,24,0
1135,2024-08-31,1,6,13,19,21,33,0
1136,2024-09-07,21,33,35,38,42,44,0
1137,2024-09-14,4,9,12,15,33,45,0
1138,2024-09-21,14,16,19,20,29,34,0
1139,2024-09-28,5,12,15,30,37,40,0
1140,2024-10-05,7,10,22,29,31,38,0
1141,2024-10-12,7,11,12,21,26,35,0
1142,2024-10-19,2,8,28,30,37,41,0
1143,2024-10-26,10,16,17,27,28,36,0
1144,2024-11-02,3,4,12,15,26,34,0
1145,2024-11-09,2,11,31,33,37,44,0
1146,2024-11-16,6,11,17,19,40,43,0
1147,2024-11-23,7,11,24,26,27,37,0
1148,2024-11-30,3,6,13,15,16,22,0
1149,2024-12-07,8,15,19,21,32,36,0
1150,2024-12-14,8,9,18,35,39,45,0
1151,2024-12-21,2,3,9,15,27,29,0
1152,2024-12-28,30,31,32,35,36,37,0
1153,2025-01-04,1,9,10,13,35,44,0
1154,2025-01-11,4,8,22,26,32,38,0
1155,2025-01-18,10,16,19,27,37,38,0
1156,2025-01-25,30,31,34,39,41,45,0
1157,2025-02-01,5,7,12,20,25,26,0
1158,2025-02-08,21,25,27,32,37,38,0
1159,2025-02-15,3,9,27,28,38,39,0
1160,2025-02-22,7,13,18,36,39,45,0
1161,2025-03-01,2,12,20,24,34,42,0
1162,2025-03-08,20,21,22,25,28,29,0
1163,2025-03-15,2,13,15,16,33,43,0
1164,2025-03-22,17,18,23,25,38,39,0
1165,2025-03-29,6,7,27,29,38,45,0
1166,2025-04-05,14,23,25,27,29,42,0
1167,2025-04-12,8,23,31,35,39,40,0
1168,2025-04-19,9,21,24,30,33,37,0
1169,2025-04-26,5,12,24,26,39,42,0
1170,2025-05-03,3,13,28,34,38,42,0
1171,2025-05-10,3,6,7,11,12,17,0
1172,2025-05-17,7,9,24,40,42,44,0
1173,2025-05-24,1,5,18,20,30,35,0
1174,2025-05-31,8,11,14,17,36,39,0
1175,2025-06-07,3,4,6,8,32,42,0
1176,2025-06-14,7,9,11,21,30,35,0
1177,2025-06-21,3,7,15,16,19,43,0
1178,2025-06-28,5,6,11,27,43,44,0
1179,2025-07-05,3,16,18,24,40,44,0
1180,2025-07-12,6,12,18,37,40,41,0
1181,2025-07-19,8,10,14,20,33,41,0
1182,2025-07-26,1,13,21,25,28,31,0
1183,2025-08-02,4,15,17,23,27,36,0
1184,2025-08-09,14,16,23,25,31,37,0
1185,2025-08-16,6,17,22,28,29,32,0
1186,2025-08-23,2,8,13,16,23,28,0
1187,2025-08-30,5,13,26,29,37,40,0
1188,2025-09-06,3,4,12,19,22,27,0
1189,2025-09-13,9,19,29,35,37,38,0
1190,2025-09-20,7,9,19,23,26,45,0
1191,2025-09-27,1,4,11,12,20,41,0
1192,2025-10-04,10,16,23,36,39,40,0
1193,2025-10-11,6,9,16,19,24,28,0
1194,2025-10-18,3,13,15,24,33,37,0
1195,2025-10-25,3,15,27,33,34,36,0
1196,2025-11-01,8,12,15,29,40,45,0
1197,2025-11-08,1,5,7,26,28,43,0
1198,2025-11-15,26,30,33,38,39,41,0
1199,2025-11-22,16,24,25,30,31,32,0
1200,2025-11-29,1,2,4,16,20,32,0
1201,2025-12-06,7,9,24,27,35,36,0
1202,2025-12-13,5,12,21,33,37,40,0
1203,2025-12-20,3,6,18,29,35,39,0
1204,2025-12-27,8,16,28,30,31,44,0
1205,2026-01-03,1,4,16,23,31,41,0
1206,2026-01-10,1,3,17,26,27,42,0
1207,2026-01-17,10,22,24,27,38,45,0
1208,2026-01-24,6,27,30,36,38,42,0
1209,2026-01-31,2,17,20,35,37,39,0
1210,2026-02-07,1,7,9,17,27,38,0
1211,2026-02-14,23,26,27,35,38,40,0
1212,2026-02-21,5,8,25,31,41,44,0
1213,2026-02-28,5,11,25,27,36,38,0
1214,2026-03-07,10,15,19,27,30,33,0
1215,2026-03-14,13,15,19,21,44,45,0
1216,2026-03-21,3,10,14,15,23,24,0
1217,2026-03-28,8,10,15,20,29,31,0
1218,2026-04-04,3,28,31,32,42,45,0
1219,2026-04-11,1,2,15,28,39,45,0
1220,2026-04-18,2,22,25,28,34,43,0
1221,2026-04-25,6,13,18,28,30,36,0
1222,2026-05-02,4,11,17,22,32,41,0
1223,2026-05-09,16,18,20,32,33,39,0
1224,2026-05-16,9,18,21,27,44,45,0
