round,date,n1,n2,n3,n4,n5,n6,bonus
1202,2025-12-13,5,12,21,33,37,40,7
1203,2025-12-20,3,6,18,29,35,39,24
1204,2025-12-27,8,16,28,30,31,44,27
1205,2026-01-03,1,4,16,23,31,41,2
1206,2026-01-10,1,3,17,26,27,42,23
1207,2026-01-17,10,22,24,27,38,45,11
1208,2026-01-24,6,27,30,36,38,42,25
1209,2026-01-31,2,17,20,35,37,39,24
1210,2026-02-07,1,7,9,17,27,38,31
1211,2026-02-14,23,26,27,35,38,40,10
1212,2026-02-21,5,8,25,31,41,44,45
1213,2026-02-28,5,11,25,27,36,38,2
1214,2026-03-07,10,15,19,27,30,33,14
1215,2026-03-14,13,15,19,21,44,45,39
1216,2026-03-21,3,10,14,15,23,24,25
1217,2026-03-28,8,10,15,20,29,31,41
1218,2026-04-04,3,28,31,32,42,45,25
1219,2026-04-11,1,2,15,28,39,45,31
1220,2026-04-18,2,22,25,28,34,43,16
1221,2026-04-25,6,13,18,28,30,36,9
1222,2026-05-02,4,11,17,22,32,41,34
1223,2026-05-09,16,18,20,32,33,39,26
1224,2026-05-16,9,18,21,27,44,45,28
1225,2026-05-23,8,9,19,25,41,42,33
1226,2026-05-30,4,6,13,17,26,28,41
1227,2026-06-06,1,14,16,34,41,44,13
1228,2026-06-13,24,29,30,31,35,44,1
1229,2026-06-20,12,13,29,34,37,42,16
1230,2026-06-27,3,8,9,22,28,42,45
1231,2026-07-04,4,13,14,18,31,38,15
1232,2026-07-11,12,15,19,22,24,36,3
1233,2026-07-18,2,7,20,25,37,40,29
1234,2026-07-25,1,15,19,31,35,43,27
1235,2026-08-01,6,7,11,15,39,43,20
1236,2026-08-08,12,18,21,29,34,38,10
1237,2026-08-15,10,20,23,34,37,40,36
1238,2026-08-22,2,13,18,32,38,42,22
